what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323703327146
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323703327427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323703362901
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323703376130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323703377893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323703386769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323703402510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323703406051
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703411137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703412447
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703470860
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703473014
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1323703475650
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703483107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703516585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703543922
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323703545404
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703634995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703635868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703637023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703637631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703673324
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703676663
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703688816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703690376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703691359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703691936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703714696
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703716554
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703725337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703726257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703727177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703727739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703753105
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703756959
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703772699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703774306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703775819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703776412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703807550
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703836068
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323703839609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323703869623
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323703878780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703957888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703959885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703960493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703961866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323703967295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323703972942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703976062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323703977201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323703979198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323703998573
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323704006747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323704007855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323704010460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323704013830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704036575
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323704044593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323704077260
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323704078960
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323704081940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704089414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704138446
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704138961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704141971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704256398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704256492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704256523
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323704264432
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1323704335771
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323704367720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704396081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704399497
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323704407672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704408904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704410839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704411416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704489173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704491171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704544356
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323704547757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704580501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704588098
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704644134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704652355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323704654570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323704660420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704684943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704728078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704750106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704808423
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323704808439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704815693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323704890822
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323704894708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323704938669
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323705094154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323705099162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323705211607
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323705213605
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323705213870
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323705213948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323705435890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323705449587
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705452925
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323705478759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323705484125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323705492424
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323705515076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323705563092
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323705575245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705623714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705625134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705627661
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705628316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705628753
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705629034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705629174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705629346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705629533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705629751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705630079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705630407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705630687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705630968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705631483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705631826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323705632201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323705675506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323705721339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323705772382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323705779465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323706376821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323706410657
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323706427194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323706430688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323706535227
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323706540688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1323706593182
